previous_id,content,source
wedding-prop-A2A52EATFDQJ1P7,dancers,second
wedding-prop-A1HWI4N1RJGKYY5,dancing shoes,second
wedding-prop-AS68QSR9OKM0N4,Dark attire,second
wedding-prop-A35BY30TC8WCL42,deck of cards,second
wedding-prop-14,Decoration,initial
wedding-prop-A2A8HRBDYBV6XJ3,diamonds,second
wedding-prop-37,diapers,initial
wedding-prop-A29ZHBXTYAGWN48,dice,second
wedding-prop-56,dinosaur,initial
wedding-prop-A1HUUSCZ4I5SOP2,disco ball,second
wedding-prop-A2MH7VT69O390F12,Dishes,second
wedding-prop-A3BL2ZEODD79AZ5,disney outfit,second
wedding-prop-A29ZHBXTYAGWN45,disposable camera,second
wedding-prop-A1U6A617Q95MTZ1,dog,second
wedding-prop-A8KX1HFH8NE2Q4,Dog collars with wedding messages,second
wedding-prop-A3672FHRNOYTSS8,dog food,second
wedding-prop-AA3F8MM6VNDCX8,Dog toys,second
wedding-prop-A248P03SBIGVNH3,dollar bills,second
wedding-prop-60,donation,initial
wedding-prop-A18XFOKU5G1OL13,Dracula ,second
wedding-prop-A2A8HRBDYBV6XJ1,dream gift,second
wedding-prop-A1PLZ0172SZAO16,Dress,second
wedding-prop-AAJ1ZQECDZBEE5,dress in the period,second
wedding-prop-A167SYXGXFU7C82,dress like prince and princess,second
wedding-prop-A2XEAXWY9B2PZ2,droid costume,second
wedding-prop-A1ISXRQO8ZQKPE5,drums,second
wedding-prop-54,DVD,initial
wedding-prop-A1PLZ0172SZAO14,earrings,second
wedding-prop-A2MH7VT69O390F1,Ears,second
wedding-prop-A1JNC3HWWHJD2J6,easter egg,second
wedding-prop-A1LI3JQS2VBOXC3,Eiffel Tower,second
wedding-prop-28,EL wire,initial
wedding-prop-A1ISXRQO8ZQKPE3,elvis,second
wedding-prop-AAEZQL4J6CQGM-10,evening,initial
wedding-prop-AAEZQL4J6CQGM-8,event,initial
wedding-prop-AAEZQL4J6CQGM-6,excursion,initial
wedding-prop-A23H9Y6D4J1HFA1,Exotic Fruit,second
wedding-prop-A2BPBFN87X32NO3,eye mask,second
