previous_id,content,source
wedding-prop-50,recipe,initial
wedding-prop-A2RYN1S6OSO9KX3,records,second
wedding-prop-A2QKKZVUIKMQFT5,recreational ball,second
wedding-prop-A3CXNFX3YOSC414,recyclable item,second
wedding-prop-AS68QSR9OKM0N5,Red roses,second
wedding-prop-A3CYS14RCWT0OO4,redneck attire,second
wedding-prop-A1GABEPSX2V15F6,Ribbons for our troops.,second
wedding-prop-A2G7N0X0PNX0EE5,rice,second
wedding-prop-A98XHW6B1VSSQ4,Ring,second
wedding-prop-A2YGAEODJ5SSF64,Rock star cake,second
wedding-prop-A1R3W25JDAUQ092,Rocks,second
wedding-prop-AOHFFIE48YQD45,roller skates,second
wedding-prop-A1TH0PTGDSBWMO1,Romantic,second
wedding-prop-66,rope,initial
wedding-prop-A1YTNGH5SMM2CJ1,Rose Flowers,second
wedding-prop-A2ULFQIDMMWNC61,Rubber Duck,second
wedding-prop-A1I8HSDL5ZYHJ13,Running shoes,second
wedding-prop-A27LGC4MU1R7PQ4,rustic outfit,second
wedding-prop-A2S3MXU8T2I5H01,Sailor's hat,second
wedding-prop-A1LI3JQS2VBOXC1,Sand,second
wedding-prop-35,sand in a bottle.,initial
wedding-prop-A2EI075XZT9Y2S-7,Sandals,initial
wedding-prop-ATADQXPHL10Y84,Santa outfits,second
wedding-prop-A3ACUGH5N9VQO211,"Saris, decorative gowns",second
wedding-prop-A1N4AZ1QXPOPXH2,scarf,second
wedding-prop-A3ACUGH5N9VQO212,Scary costumes,second
wedding-prop-A2XEAXWY9B2PZ4,scary mask,second
wedding-prop-A1O67YS3DU0ZHX6,Scrabble tiles,second
wedding-prop-A1UWJTUVGAAF6D4,scratch off ticket,second
wedding-prop-AAWMZ1HKXEFNY8,SCUBA gear,second
wedding-prop-A13T61GJTR2Y9B-1,seashell,initial
wedding-prop-A27CPVNHWY58DL7,Self,second
wedding-prop-A4TAQBKTB06BG-6,Sex toy,initial
wedding-prop-A27Y8K3JEAFZIB6,Shark fins,second
wedding-prop-A1KJVRDH41EH283,SHark masks,second
wedding-prop-A2U2HC38IZKZFC4,sheets with holes cut in them for eyes,second
wedding-prop-A1A3TGZ7DKJWRW1,Shells,second
wedding-prop-APHNYDGTCRN3O2,shield,second
wedding-prop-AMDX0UNZS4A1G1,Ship,second
wedding-prop-A1E4P80U4NF8QE1,ship wheel,second
wedding-prop-A3W0JETVWCO4O92,Shirts,second
wedding-prop-ANHTVHW3XY04Y3,Shot Glass/Beer Mug,second
wedding-prop-A1Q4PWSHDWPH1Q4,Shovel,second
wedding-prop-A37C9M7J88EWEB3,silly or unusual hat,second
wedding-prop-A7D33D2QGIBJX2,skate shoes,second
wedding-prop-A1KJVRDH41EH288,Skinny ties and cigarettes,second
wedding-prop-A1DJDT4B5B19Q211,skulls,second
wedding-prop-ANHTVHW3XY04Y7,Sleeping Bag,second
wedding-prop-AGFWV1U4CJXP51,small colorful rug,second
wedding-prop-A8KX1HFH8NE2Q1,Small Replica Boats,second
wedding-prop-A8KX1HFH8NE2Q2,Small Roller Coaster Replica,second
wedding-prop-A77K8W55MJEKX3,small ships,second
wedding-prop-A4TAQBKTB06BG-8,Smile,initial
wedding-prop-42,smock,initial
wedding-prop-A3FJWFCS4WM9ER7,Smores ingredients,second
wedding-prop-A3096ZOP616ZIN6,sneakers,second
wedding-prop-A31Z732PNG4TD13,snow,second
wedding-prop-A2U2HC38IZKZFC7,snow machine,second
wedding-prop-A3NR6IMZRCIDGW5,Snowman,second
wedding-prop-A341LHR7178BUY-4,sombrero,initial
wedding-prop-A1N4AZ1QXPOPXH3,something orange,second
wedding-prop-47,song,initial
wedding-prop-A1GKEEI844CEKI-2,Souvenir,initial
wedding-prop-A35BQPABKN4Q8C3,Space helmets ,second
wedding-prop-A19F0UPKU4IT2P1,Spacesuit,second
wedding-prop-A138BU1VWM2RKN4,Sparklers,second
wedding-prop-A34V8L66BJ7K917,Sparkly outfit,second
wedding-prop-A3D61CCA0LVMWV1,spatula,second
wedding-prop-A19F0UPKU4IT2P7,Speech,second
wedding-prop-AJ34WB9Z37ILU6,spikes,second
wedding-prop-A1V13RCLTAE1X2,spit cup,second
wedding-prop-AYHXK9JTG8IV32,Spooky costume,second
wedding-prop-A19F0UPKU4IT2P6,Spoon,second
wedding-prop-A2YGAEODJ5SSF62,Sports equipment,second
wedding-prop-A1YTNGH5SMM2CJ3,Sports Uniforms,second
wedding-prop-A20ALQT1HIVSAH5,spy kit gear,second
wedding-prop-A3G5IPGLH1IIZN2,starfish,second
wedding-prop-A31Z732PNG4TD11,stars,second
wedding-prop-ASXACVODSYD7G4,Steam punk weapon,second
wedding-prop-68,stethescope,initial
wedding-prop-AUT9J39A2N4LH1,Stick,second
wedding-prop-A1ONILGBGJ8Y5K-9,Stocking,initial
wedding-prop-A35BY30TC8WCL43,stones,second
wedding-prop-A2BPBFN87X32NO2,story book,second
wedding-prop-A1JNC3HWWHJD2J8,straw hat,second
wedding-prop-A2CY1G4VJV3G856,streamers,second
wedding-prop-A389MQV46PUXVT2,"strings of colorful beads, masks",second
wedding-prop-A94DL4GI8ZBUO6,Stuff from 1880,second
wedding-prop-A4TAQBKTB06BG-2,Stuffed animal,initial
wedding-prop-AGFWV1U4CJXP56,stuffed swan toy,second
wedding-prop-ASXACVODSYD7G5,Stupid ideological signs,second
wedding-prop-A3579N2TITA69M1,Submarine,second
wedding-prop-A1PLZ0172SZAO15,suit,second
wedding-prop-A27BSYPO6JCB4Q2,suit and tie,second
wedding-prop-A2WUMRRE9070N84,suit of armour,second
wedding-prop-A1DJDT4B5B19Q21,sunflowers,second
wedding-prop-24,Sunglasses,initial
wedding-prop-A3KVH7IYW9XEJX2,super hero mask,second
wedding-prop-A2YGAEODJ5SSF61,superhero cake,second
wedding-prop-AXGCH3EOOB0XG1,Sweatband,second
wedding-prop-48,swimsuit,initial
wedding-prop-A1Q4PWSHDWPH1Q-9,Sword,initial
wedding-prop-38,tablet,initial
wedding-prop-A1QJ2VPPZG16EG1,Tartans ,second
wedding-prop-A3FJWFCS4WM9ER9,Tea,second
wedding-prop-64,teacup,initial
wedding-prop-A305GO3YC40CZK13,Teapot,second
wedding-prop-A4TAQBKTB06BG-9,Telescope,initial
wedding-prop-A2A52EATFDQJ1P11,tent,second
wedding-prop-A2YYQJ3JWA2KGD-7,coolers for beer,initial
wedding-prop-A2G6074KBB11TH9,tequila,second
wedding-prop-A1PT63J40GNSZF7,The Union Jack,second
wedding-prop-A1IZ4NX41GKU4X-3,theatre,initial
wedding-prop-A70L26UXLTGLC2,"Tie dyed attire, flower child attire",second
wedding-prop-A2SD7RMON9KR4L1,Tie-dyed dress,second
wedding-prop-A4CX7I79NKBQA4,"tiki bar, hula hoop...",second
wedding-prop-32,toe rings,initial
wedding-prop-A1GABEPSX2V15F2,Toga,second
wedding-prop-A1V13RCLTAE1X1,Tombstone,second
wedding-prop-A31WKS01C2DKM81,torch,second
wedding-prop-A1K03T7XQ5E86Q3,Towel,second
wedding-prop-A2YYQJ3JWA2KGD-10,sunscreen,initial
wedding-prop-51,toy,initial
wedding-prop-A2U2HC38IZKZFC12,toy dinosaurs,second
wedding-prop-A8L450UGY77XB2,toy lightsabers,second
wedding-prop-A27CPVNHWY58DL6,traditional clothing,second
wedding-prop-A10DEO061A6L3O3,"tree, waterfall",second
wedding-prop-A27LGC4MU1R7PQ1,tricorner hat,second
wedding-prop-A3H6C8N09ZMJEO4,Tridents,second
wedding-prop-A35CSDNQYK408H5,Trivial Pursuit Cards,second
wedding-prop-A94DL4GI8ZBUO5,Tropical stuff,second
wedding-prop-69,trowel,initial
wedding-prop-A3CZFTXS9EQSY31,trunk,second
wedding-prop-A1HWI4N1RJGKYY6,tuxedo or black dress,second
wedding-prop-ASF5V3K4IFP4K5,Tuxedos and guns,second
wedding-prop-A20ALQT1HIVSAH4,twinkle lights,second
wedding-prop-A1DP2L19BNZJ2Y4,Umbrella,second
wedding-prop-AO2LJAB0IA1DX3,Unicorn,second
wedding-prop-A1JNC3HWWHJD2J9,uniform,second
wedding-prop-A1IZ4NX41GKU4X-2,union,initial
wedding-prop-A1DJDT4B5B19Q26,use flag and colors,second
wedding-prop-A1DNJ17PE2RYJZ6,Used white elephant gifts,second
wedding-prop-A1IZ4NX41GKU4X-7,vacation,initial
wedding-prop-A3DFMWYTKJ57L2,Vampires and wolves,second
wedding-prop-A19F0UPKU4IT2P3,Various Food Items,second
wedding-prop-A1JDYSPYJSH2FB2,various southern items,second
wedding-prop-AB774I47XHB4K8,vegetables,second
wedding-prop-AHSSE7PJ2J66J4,Venetian Mask,second
wedding-prop-AB774I47XHB4K7,videogames,second
wedding-prop-A3NR6IMZRCIDGW3,Vines,second
wedding-prop-A2SUSP7BO7ZCPM6,vintage clothes,second
wedding-prop-AXVSC47AH61KI3,Vinyl Record,second
wedding-prop-A1ONILGBGJ8Y5K-4,Wand,initial
wedding-prop-A3OW5EFQ5QFD194,watch,second
wedding-prop-AD7CUW86FWEKT5,Water,second
wedding-prop-13,Watercolors,initial
wedding-prop-A13T61GJTR2Y9B-7,weapon,initial
wedding-prop-A34V8L66BJ7K916,Wear white clothing,second
wedding-prop-A94DL4GI8ZBUO1,Western Gear,second
wedding-prop-A1LJ4WAEDGELVL5,Whale,second
wedding-prop-A2U2HC38IZKZFC2,Whips,second
wedding-prop-A1K03T7XQ5E86Q1,White clothing,second
wedding-prop-AMDX0UNZS4A1G4,White robes,second
wedding-prop-A2EI075XZT9Y2S-10,wig,initial
wedding-prop-A3N5L136KKW6AV2,wild flowers,second
wedding-prop-A341LHR7178BUY-8,Wine,initial
wedding-prop-A3HUD3CNH2GXGW3,Wine cooler,second
wedding-prop-A3OW5EFQ5QFD192,wine glass,second
wedding-prop-A14HWOXMI4R2ON3,wings,second
wedding-prop-A1POZ8CU7KPXN15,Winter clothes,second
wedding-prop-A1KJVRDH41EH285,Wizard costumes,second
wedding-prop-A19F0UPKU4IT2P2,Wizard Hats,second
wedding-prop-A1A3TGZ7DKJWRW2,wood,second
wedding-prop-A1PLZ0172SZAO11,wooden leg,second
wedding-prop-A3NR6IMZRCIDGW7,Woody,second
wedding-prop-A1PLZ0172SZAO112,woody and buzz,second
wedding-prop-AB774I47XHB4K6,wool,second
wedding-prop-A1A3TGZ7DKJWRW6,workout clothes,second
wedding-prop-A1OXHIJ79K3D2E4,Worms,second
wedding-prop-A2S3MXU8T2I5H02,Wreaths,second
wedding-prop-A2A52EATFDQJ1P1,yard,second
wedding-prop-A248P03SBIGVNH11,year glasses,second
wedding-prop-A1UURQF07IOXBO7,yearbooks,second
